Student_ID,Quiz_ID,Topic,Difficulty,Score,Time_Taken
Student_1,Quiz_1,English,Medium,89.11,53.76
Student_1,Quiz_2,Chemistry,Medium,47.05,43.1
Student_1,Quiz_3,History,Medium,3.28,30.47
Student_1,Quiz_4,Geography,Medium,96.03,17.08
Student_1,Quiz_5,History,Medium,92.85,54.16
Student_1,Quiz_6,Chemistry,Medium,22.46,43.73
Student_1,Quiz_7,Physics,Hard,83.22,48.05
Student_1,Quiz_8,Geography,Easy,84.44,33.71
Student_1,Quiz_9,Chemistry,Hard,44.26,21.06
Student_1,Quiz_10,Geography,Easy,44.07,51.48
Student_1,Quiz_11,Physics,Easy,55.53,46.68
Student_1,Quiz_12,Biology,Medium,76.5,21.15
Student_1,Quiz_13,Geography,Easy,40.93,5.89
Student_1,Quiz_14,Biology,Medium,76.2,52.69
Student_1,Quiz_15,Geography,Easy,53.0,46.17
Student_1,Quiz_16,Geography,Easy,25.69,22.7
Student_1,Quiz_17,Math,Easy,88.44,26.39
Student_1,Quiz_18,History,Easy,19.13,12.62
Student_1,Quiz_19,Math,Hard,74.73,16.91
Student_1,Quiz_20,English,Hard,7.83,28.22
Student_1,Quiz_21,Math,Hard,89.46,18.81
Student_1,Quiz_22,History,Easy,69.18,52.47
Student_1,Quiz_23,Biology,Hard,86.94,30.66
Student_1,Quiz_24,History,Hard,80.04,50.68
Student_1,Quiz_25,History,Hard,92.73,45.16
Student_1,Quiz_26,Geography,Easy,58.23,51.35
Student_1,Quiz_27,History,Hard,53.33,16.43
Student_1,Quiz_28,Chemistry,Easy,14.63,10.93
Student_1,Quiz_29,Chemistry,Easy,96.33,26.59
Student_1,Quiz_30,Geography,Hard,72.18,5.87
Student_1,Quiz_31,Chemistry,Hard,52.5,6.79
Student_1,Quiz_32,Chemistry,Medium,87.23,29.59
Student_1,Quiz_33,Biology,Medium,61.46,29.41
Student_1,Quiz_34,Physics,Medium,14.57,30.23
Student_1,Quiz_35,Physics,Medium,7.33,28.06
Student_1,Quiz_36,Biology,Hard,16.11,24.38
Student_1,Quiz_37,Math,Medium,62.5,18.16
Student_1,Quiz_38,Biology,Easy,48.44,27.51
Student_1,Quiz_39,Chemistry,Easy,67.29,7.79
Student_1,Quiz_40,History,Medium,10.8,30.34
Student_1,Quiz_41,Chemistry,Easy,4.72,35.25
Student_1,Quiz_42,Math,Easy,93.7,46.4
Student_1,Quiz_43,Math,Easy,77.0,13.75
Student_1,Quiz_44,Math,Hard,56.85,48.24
Student_1,Quiz_45,Biology,Medium,84.72,32.64
Student_1,Quiz_46,Physics,Easy,23.12,59.59
Student_1,Quiz_47,Math,Medium,4.8,45.03
Student_1,Quiz_48,History,Medium,15.02,39.67
Student_1,Quiz_49,English,Easy,92.23,10.83
Student_1,Quiz_50,Physics,Medium,42.3,54.05
Student_1,Quiz_51,Chemistry,Hard,85.09,11.95
Student_1,Quiz_52,Physics,Medium,3.03,33.72
Student_1,Quiz_53,Chemistry,Medium,88.32,37.87
Student_1,Quiz_54,History,Easy,31.99,12.51
Student_1,Quiz_55,Biology,Easy,84.53,40.73
Student_1,Quiz_56,Math,Easy,32.15,15.38
Student_1,Quiz_57,Geography,Medium,45.68,53.26
Student_1,Quiz_58,Biology,Hard,5.52,22.93
Student_1,Quiz_59,English,Hard,18.62,22.43
Student_1,Quiz_60,History,Easy,22.36,9.09
Student_1,Quiz_61,Math,Medium,99.64,51.2
Student_1,Quiz_62,Chemistry,Easy,8.07,35.22
Student_1,Quiz_63,History,Easy,9.87,16.04
Student_1,Quiz_64,History,Hard,59.87,42.46
Student_1,Quiz_65,Geography,Medium,99.56,5.1
Student_1,Quiz_66,History,Hard,46.74,51.02
Student_1,Quiz_67,Biology,Hard,56.46,15.55
Student_1,Quiz_68,Geography,Medium,62.42,59.62
Student_1,Quiz_69,Math,Hard,17.06,34.8
Student_1,Quiz_70,Geography,Hard,96.31,51.14
Student_1,Quiz_71,Math,Easy,85.69,34.6
Student_1,Quiz_72,Geography,Medium,60.97,48.49
Student_1,Quiz_73,Geography,Hard,88.51,45.82
Student_1,Quiz_74,Biology,Easy,62.27,54.75
Student_1,Quiz_75,Physics,Easy,97.63,44.24
Student_1,Quiz_76,Math,Hard,17.3,7.3
Student_1,Quiz_77,Chemistry,Medium,27.57,43.69
Student_1,Quiz_78,Physics,Medium,6.93,29.36
Student_1,Quiz_79,History,Medium,78.48,44.64
Student_1,Quiz_80,History,Medium,28.14,33.57
Student_1,Quiz_81,Biology,Hard,28.46,50.65
Student_1,Quiz_82,History,Hard,43.87,31.58
Student_1,Quiz_83,Geography,Medium,35.6,10.71
Student_1,Quiz_84,Chemistry,Medium,26.04,8.48
Student_1,Quiz_85,Math,Medium,57.36,7.88
Student_1,Quiz_86,English,Medium,39.83,34.38
Student_1,Quiz_87,Physics,Hard,3.95,37.96
Student_1,Quiz_88,History,Medium,8.66,5.83
Student_1,Quiz_89,Physics,Easy,95.87,34.3
Student_1,Quiz_90,Chemistry,Easy,59.43,5.97
Student_1,Quiz_91,Biology,Easy,17.82,9.67
